category,avg_duration_sec,median_duration_sec,count,period
all_calls,19.7,16.3,35865,2026-02 to 2026-05
transferred,69.0,54.2,1018,2026-02 to 2026-05
lead_captured,40.3,34.3,273,2026-02 to 2026-05
info_provided,31.5,20.1,1301,2026-02 to 2026-05
complaint_logged,25.4,22.5,134,2026-02 to 2026-05
abandoned_quick_hangup,22.1,16.3,3709,2026-02 to 2026-05
disconnected,18.5,16.3,22932,2026-02 to 2026-05
other,17.6,16.1,3202,2026-02 to 2026-05
untagged,18.6,16.1,996,2026-02 to 2026-05
voicemail_detected,11.5,7.7,2164,2026-02 to 2026-05
no_answer,0,0,67,2026-02 to 2026-05
busy,0,0,34,2026-02 to 2026-05
failed,0,0,18,2026-02 to 2026-05
appointment_booked,21.2,21.2,2,2026-02 to 2026-05
